timestamp,relative_sec,sensor,ch1_name,ch1_val,ch2_name,ch2_val,ch3_name,ch3_val,raw_line
1786012389.3849025,0.010,ECG_DIAG,halves,2,total_samples,1500,overruns,0,[ECG] halves=2  total_samples=1500  overruns=0
1786012389.3933187,0.019,PPG,RED,0,IR,0,samples,0,[PPG] samples=0  RED=0  IR=0  sensor=OK
1786012389.4012883,0.027,IMU_ACCEL,ax,-4876,ay,-2572,az,14296,[IMU] accel: ax=-4876  ay=-2572  az=14296
1786012389.404246,0.029,IMU_GYRO,gx,-29,gy,-25,gz,-159,[IMU] gyro:  gx=-29  gy=-25  gz=-159
1786012389.5271223,0.152,ECG_RAW,raw,75,,,,,[ECG] raw=75
1786012389.5301898,0.155,ECG_RAW,raw,599,,,,,[ECG] raw=599
1786012389.549315,0.175,ECG_RAW,raw,2753,,,,,[ECG] raw=2753
1786012389.549315,0.175,ECG_RAW,raw,3527,,,,,[ECG] raw=3527
1786012389.549315,0.175,ECG_RAW,raw,2371,,,,,[ECG] raw=2371
1786012389.550316,0.176,ECG_RAW,raw,193,,,,,[ECG] raw=193
1786012389.552317,0.178,ECG_RAW,raw,391,,,,,[ECG] raw=391
1786012389.5585415,0.184,ECG_RAW,raw,3146,,,,,[ECG] raw=3146
1786012389.5624635,0.188,ECG_RAW,raw,2504,,,,,[ECG] raw=2504
1786012389.5727775,0.198,ECG_RAW,raw,2525,,,,,[ECG] raw=2525
1786012389.578019,0.203,ECG_RAW,raw,453,,,,,[ECG] raw=453
1786012389.5805295,0.206,ECG_RAW,raw,11,,,,,[ECG] raw=11
1786012389.5922658,0.218,ECG_RAW,raw,2416,,,,,[ECG] raw=2416
1786012389.6004682,0.226,ECG_RAW,raw,3635,,,,,[ECG] raw=3635
1786012389.6004682,0.226,ECG_RAW,raw,3182,,,,,[ECG] raw=3182
1786012389.6108027,0.236,ECG_RAW,raw,823,,,,,[ECG] raw=823
1786012389.6210544,0.246,ECG_RAW,raw,4,,,,,[ECG] raw=4
1786012389.6210544,0.246,ECG_RAW,raw,2198,,,,,[ECG] raw=2198
1786012389.6285613,0.254,ECG_RAW,raw,3950,,,,,[ECG] raw=3950
1786012389.6306324,0.256,ECG_RAW,raw,3635,,,,,[ECG] raw=3635
1786012389.6402059,0.265,ECG_RAW,raw,1224,,,,,[ECG] raw=1224
1786012389.641131,0.266,ECG_RAW,raw,5,,,,,[ECG] raw=5
1786012389.6486795,0.274,ECG_RAW,raw,1960,,,,,[ECG] raw=1960
1786012389.6506739,0.276,ECG_RAW,raw,3560,,,,,[ECG] raw=3560
1786012389.6601481,0.285,ECG_RAW,raw,3584,,,,,[ECG] raw=3584
1786012389.6621442,0.287,ECG_RAW,raw,1538,,,,,[ECG] raw=1538
1786012389.6685965,0.294,ECG_RAW,raw,3,,,,,[ECG] raw=3
1786012389.6705716,0.296,ECG_RAW,raw,1330,,,,,[ECG] raw=1330
1786012389.6807828,0.306,ECG_RAW,raw,3303,,,,,[ECG] raw=3303
1786012389.68811,0.313,ECG_RAW,raw,3847,,,,,[ECG] raw=3847
1786012389.6901984,0.315,ECG_RAW,raw,1901,,,,,[ECG] raw=1901
1786012389.7000809,0.325,ECG_RAW,raw,3,,,,,[ECG] raw=3
1786012389.708412,0.334,ECG_RAW,raw,1050,,,,,[ECG] raw=1050
1786012389.7103355,0.336,ECG_RAW,raw,3146,,,,,[ECG] raw=3146
1786012389.7204278,0.346,ECG_RAW,raw,3976,,,,,[ECG] raw=3976
1786012389.7284281,0.354,ECG_RAW,raw,2348,,,,,[ECG] raw=2348
1786012389.73043,0.356,ECG_RAW,raw,99,,,,,[ECG] raw=99
1786012389.736765,0.362,ECG_RAW,raw,652,,,,,[ECG] raw=652
1786012389.740766,0.366,ECG_RAW,raw,2930,,,,,[ECG] raw=2930
1786012389.748404,0.374,ECG_RAW,raw,3978,,,,,[ECG] raw=3978
1786012389.75048,0.376,ECG_RAW,raw,3265,,,,,[ECG] raw=3265
1786012389.7567775,0.382,ECG_RAW,raw,3,,,,,[ECG] raw=3
1786012389.7602944,0.386,ECG_RAW,raw,298,,,,,[ECG] raw=298
1786012389.7689319,0.394,ECG_RAW,raw,2850,,,,,[ECG] raw=2850
1786012389.7709236,0.396,ECG_RAW,raw,3962,,,,,[ECG] raw=3962
1786012389.7763834,0.402,ECG_RAW,raw,3205,,,,,[ECG] raw=3205
1786012389.7787552,0.404,ECG_RAW,raw,640,,,,,[ECG] raw=640
1786012389.7887485,0.414,ECG_RAW,raw,316,,,,,[ECG] raw=316
1786012389.7968378,0.422,ECG_RAW,raw,2749,,,,,[ECG] raw=2749
1786012389.798818,0.424,ECG_RAW,raw,3959,,,,,[ECG] raw=3959
1786012389.8087265,0.434,ECG_RAW,raw,3673,,,,,[ECG] raw=3673
1786012389.8173301,0.443,ECG_RAW,raw,1261,,,,,[ECG] raw=1261
1786012389.8189335,0.444,ECG_RAW,raw,329,,,,,[ECG] raw=329
1786012389.828605,0.454,ECG_RAW,raw,2573,,,,,[ECG] raw=2573
1786012389.8370275,0.462,ECG_RAW,raw,3904,,,,,[ECG] raw=3904
1786012389.839029,0.464,ECG_RAW,raw,3816,,,,,[ECG] raw=3816
1786012389.845027,0.470,ECG_RAW,raw,1297,,,,,[ECG] raw=1297
